[INFO] [launch]: All log files can be found below /home/ruthhhs/.ros/log/2025-12-07-19-30-02-543678-ruthhhs-HP-Laptop-15-dy2xxx-3328
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [soccer_vision_node-1]: process started with pid [3341]
[soccer_vision_node-1] [INFO] [1765111218.263551990] [soccer_vision]: Soccer vision alive | dummy=True | balls=8962 | field_lines=20 | goal_posts=8961
[soccer_vision_node-1] [INFO] [1765111233.263395877] [soccer_vision]: Soccer vision alive | dummy=True | balls=9177 | field_lines=20 | goal_posts=9176
[soccer_vision_node-1] [INFO] [1765111248.263096168] [soccer_vision]: Soccer vision alive | dummy=True | balls=9394 | field_lines=20 | goal_posts=9393
[soccer_vision_node-1] [INFO] [1765111263.263005070] [soccer_vision]: Soccer vision alive | dummy=True | balls=9570 | field_lines=20 | goal_posts=9569
[soccer_vision_node-1] [INFO] [1765111278.299805503] [soccer_vision]: Soccer vision alive | dummy=True | balls=9743 | field_lines=20 | goal_posts=9742
[soccer_vision_node-1] [INFO] [1765111293.265110874] [soccer_vision]: Soccer vision alive | dummy=True | balls=9900 | field_lines=20 | goal_posts=9899
[soccer_vision_node-1] [INFO] [1765111308.262988482] [soccer_vision]: Soccer vision alive | dummy=True | balls=10110 | field_lines=20 | goal_posts=10109
[soccer_vision_node-1] [INFO] [1765111323.280994077] [soccer_vision]: Soccer vision alive | dummy=True | balls=10324 | field_lines=20 | goal_posts=10323
[soccer_vision_node-1] [INFO] [1765111338.262897978] [soccer_vision]: Soccer vision alive | dummy=True | balls=10546 | field_lines=20 | goal_posts=10545
[soccer_vision_node-1] [INFO] [1765111353.266852063] [soccer_vision]: Soccer vision alive | dummy=True | balls=10756 | field_lines=20 | goal_posts=10755
[soccer_vision_node-1] [INFO] [1765111368.305996177] [soccer_vision]: Soccer vision alive | dummy=True | balls=10995 | field_lines=20 | goal_posts=10994
[soccer_vision_node-1] [INFO] [1765111383.279721412] [soccer_vision]: Soccer vision alive | dummy=True | balls=11223 | field_lines=20 | goal_posts=11222
[soccer_vision_node-1] [INFO] [1765111398.280658522] [soccer_vision]: Soccer vision alive | dummy=True | balls=11453 | field_lines=20 | goal_posts=11452
[soccer_vision_node-1] [INFO] [1765111413.273118297] [soccer_vision]: Soccer vision alive | dummy=True | balls=11662 | field_lines=20 | goal_posts=11661
[soccer_vision_node-1] [INFO] [1765111428.290057770] [soccer_vision]: Soccer vision alive | dummy=True | balls=11900 | field_lines=20 | goal_posts=11899
[soccer_vision_node-1] [INFO] [1765111443.290929640] [soccer_vision]: Soccer vision alive | dummy=True | balls=12144 | field_lines=20 | goal_posts=12143
[soccer_vision_node-1] [INFO] [1765111458.265328880] [soccer_vision]: Soccer vision alive | dummy=True | balls=12371 | field_lines=20 | goal_posts=12370
[soccer_vision_node-1] [INFO] [1765111473.294953065] [soccer_vision]: Soccer vision alive | dummy=True | balls=12589 | field_lines=20 | goal_posts=12588
[soccer_vision_node-1] [INFO] [1765111488.263039471] [soccer_vision]: Soccer vision alive | dummy=True | balls=12820 | field_lines=20 | goal_posts=12819
[soccer_vision_node-1] [INFO] [1765111503.304848272] [soccer_vision]: Soccer vision alive | dummy=True | balls=13049 | field_lines=20 | goal_posts=13048
[soccer_vision_node-1] [INFO] [1765111518.263694063] [soccer_vision]: Soccer vision alive | dummy=True | balls=13283 | field_lines=20 | goal_posts=13282
[soccer_vision_node-1] [INFO] [1765111533.264868253] [soccer_vision]: Soccer vision alive | dummy=True | balls=13517 | field_lines=20 | goal_posts=13516
[soccer_vision_node-1] [INFO] [1765111548.291385824] [soccer_vision]: Soccer vision alive | dummy=True | balls=13755 | field_lines=20 | goal_posts=13754
[soccer_vision_node-1] [INFO] [1765111563.304559975] [soccer_vision]: Soccer vision alive | dummy=True | balls=14011 | field_lines=20 | goal_posts=14010
[soccer_vision_node-1] [INFO] [1765111578.308960761] [soccer_vision]: Soccer vision alive | dummy=True | balls=14256 | field_lines=20 | goal_posts=14255
